# Pin Out For ECP5-5G-45,,,,,,,,,
# Revision 0.0,,,,,,,,,
"# Revised Feb 23, 2016",,,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA554,CABGA381,CSFBGA285
1,NC,-,-,-,-,-,-,-,-
2,NC,-,-,-,-,-,-,-,-
3,NC,-,-,-,-,-,-,-,-
4,NC,-,-,-,-,-,-,-,-
5,NC,-,-,-,-,-,-,-,-
6,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17,C2,A4,C12
7,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17,C1,A5,B12
8,VSSIO7,-,-,-,-,-,-,-,-
9,PL11C,7,-,True_OF_PL11D,-,LDQ17,C4,B5,-
10,VCCIO7,-,-,-,-,-,-,-,-
11,PL11D,7,-,Comp_OF_PL11C,-,LDQ17,C3,C5,-
12,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17,D4,C4,A12
13,VCCAUX,-,-,-,-,-,-,-,-
14,PL14C,7,-,True_OF_PL14D,-,LDQ17,B1,A3,-
15,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ17,D3,B4,-
16,VSS,-,-,-,-,-,-,-,-
17,PL14D,7,-,Comp_OF_PL14C,-,LDQ17,B3,B3,-
18,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17,D2,E4,D13
19,VCC,-,-,-,-,-,-,-,-
20,PL17C,7,-,True_OF_PL17D,-,LDQ17,E3,C3,-
21,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,E1,D5,C13
22,VSS,-,-,-,-,-,-,-,-
23,PL17D,7,-,Comp_OF_PL17C,-,LDQ17,D1,D3,-
24,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17,F2,F4,-
25,VSSIO7,-,-,-,-,-,-,-,-
26,PL20C,7,-,True_OF_PL20D,-,LDQ17,E4,E5,-
27,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQ17,F1,E3,-
28,VCCIO7,-,-,-,-,-,-,-,-
29,PL20D,7,-,Comp_OF_PL20C,-,LDQ17,F3,F5,-
30,PL23A,7,-,True_OF_PL23B,TRUE,LDQ29,F5,A2,B13
31,VSSIO7,-,-,-,-,-,-,-,-
32,PL23C,7,VREF1_7,True_OF_PL23D,-,LDQ29,H5,B2,C15
33,PL23B,7,-,Comp_OF_PL23A,TRUE,LDQ29,F4,B1,A13
34,VCCIO7,-,-,-,-,-,-,-,-
35,PL23D,7,-,Comp_OF_PL23C,-,LDQ29,H6,C2,A15
36,PL26A,7,-,True_OF_PL26B,TRUE,LDQ29,J6,C1,D15
37,VCCAUX,-,-,-,-,-,-,-,-
38,PL26C,7,-,True_OF_PL26D,-,LDQ29,H4,D2,-
39,PL26B,7,-,Comp_OF_PL26A,TRUE,LDQ29,K6,D1,D16
40,VSS,-,-,-,-,-,-,-,-
41,PL26D,7,-,Comp_OF_PL26C,-,LDQ29,L5,E1,-
42,PL29A,7,GR_PCLK7_1,True_OF_PL29B,TRUE,LDQS29,K5,H4,B15
43,VCC,-,-,-,-,-,-,-,-
44,PL29C,7,GR_PCLK7_0,True_OF_PL29D,-,LDQ29,M6,H5,C16
45,PL29B,7,-,Comp_OF_PL29A,TRUE,LDQSN29,J4,G5,A16
46,VSS,-,-,-,-,-,-,-,-
47,PL29D,7,-,Comp_OF_PL29C,-,LDQ29,M4,H3,-
48,PL32A,7,PCLKT7_1,True_OF_PL32B,TRUE,LDQ29,K4,G3,A17
49,VSSIO7,-,-,-,-,-,-,-,-
50,PL32C,7,PCLKT7_0,True_OF_PL32D,-,LDQ29,N6,F2,B18
51,PL32B,7,PCLKC7_1,Comp_OF_PL32A,TRUE,LDQ29,L4,F3,B17
52,VCCIO7,-,-,-,-,-,-,-,-
53,PL32D,7,PCLKC7_0,Comp_OF_PL32C,-,LDQ29,N5,E2,C17
54,PL35A,6,PCLKT6_1,True_OF_PL35B,TRUE,LDQ41,H3,G2,D17
55,VSSIO6,-,-,-,-,-,-,-,-
56,PL35C,6,PCLKT6_0,True_OF_PL35D,-,LDQ41,H2,H2,D18
57,PL35B,6,PCLKC6_1,Comp_OF_PL35A,TRUE,LDQ41,J3,F1,C18
58,VCCIO6,-,-,-,-,-,-,-,-
59,PL35D,6,PCLKC6_0,Comp_OF_PL35C,-,LDQ41,H1,G1,F18
60,PL38A,6,GR_PCLK6_0,True_OF_PL38B,TRUE,LDQ41,K2,J4,F17
61,VCCAUX,-,-,-,-,-,-,-,-
62,PL38C,6,GR_PCLK6_1,True_OF_PL38D,-,LDQ41,K3,J3,F15
63,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ41,J1,J5,F16
64,VSS,-,-,-,-,-,-,-,-
65,PL38D,6,-,Comp_OF_PL38C,-,LDQ41,L3,K3,G16
66,PL41A,6,-,True_OF_PL41B,TRUE,LDQS41,L2,K2,G18
67,VCC,-,-,-,-,-,-,-,-
68,PL41C,6,-,True_OF_PL41D,-,LDQ41,K1,H1,-
69,PL41B,6,-,Comp_OF_PL41A,TRUE,LDQSN41,M1,J1,H17
70,VSS,-,-,-,-,-,-,-,-
71,PL41D,6,-,Comp_OF_PL41C,-,LDQ41,L1,K1,-
72,PL44A,6,-,True_OF_PL44B,TRUE,LDQ41,N1,K4,G15
73,VSSIO6,-,-,-,-,-,-,-,-
74,PL44C,6,-,True_OF_PL44D,-,LDQ41,N3,L4,H16
75,PL44B,6,VREF1_6,Comp_OF_PL44A,TRUE,LDQ41,N2,K5,H15
76,VCCIO6,-,-,-,-,-,-,-,-
77,PL44D,6,-,Comp_OF_PL44C,-,LDQ41,M3,L5,J16
78,PL47A,6,-,True_OF_PL47B,TRUE,LDQ53,P4,-,-
79,VSSIO6,-,-,-,-,-,-,-,-
80,PL47C,6,-,True_OF_PL47D,-,LDQ53,P6,-,-
81,PL47B,6,-,Comp_OF_PL47A,TRUE,LDQ53,P5,-,-
82,VCCIO6,-,-,-,-,-,-,-,-
83,PL47D,6,-,Comp_OF_PL47C,-,LDQ53,N4,-,-
84,PL50A,6,-,True_OF_PL50B,TRUE,LDQ53,R4,-,-
85,VCCAUX,-,-,-,-,-,-,-,-
86,PL50C,6,-,True_OF_PL50D,-,LDQ53,R6,-,-
87,PL50B,6,-,Comp_OF_PL50A,TRUE,LDQ53,T5,-,-
88,VSS,-,-,-,-,-,-,-,-
89,PL50D,6,-,Comp_OF_PL50C,-,LDQ53,T4,-,-
90,PL53A,6,-,True_OF_PL53B,TRUE,LDQS53,V4,M5,-
91,VCC,-,-,-,-,-,-,-,-
92,PL53C,6,-,True_OF_PL53D,-,LDQ53,U6,-,-
93,PL53B,6,-,Comp_OF_PL53A,TRUE,LDQSN53,U5,-,-
94,VSS,-,-,-,-,-,-,-,-
95,PL53D,6,-,Comp_OF_PL53C,-,LDQ53,U4,-,-
96,PL56A,6,-,True_OF_PL56B,TRUE,LDQ53,W4,-,-
97,VSSIO6,-,-,-,-,-,-,-,-
98,PL56C,6,-,True_OF_PL56D,-,LDQ53,W5,-,-
99,PL56B,6,-,Comp_OF_PL56A,TRUE,LDQ53,V6,-,-
100,VCCIO6,-,-,-,-,-,-,-,-
101,PL56D,6,-,Comp_OF_PL56C,-,LDQ53,W6,-,-
102,PL59A,6,-,True_OF_PL59B,TRUE,LDQ65,T3,M4,-
103,VSSIO6,-,-,-,-,-,-,-,-
104,PL59C,6,-,True_OF_PL59D,-,LDQ65,R3,N4,J17
105,PL59B,6,-,Comp_OF_PL59A,TRUE,LDQ65,U3,N5,-
106,VCCIO6,-,-,-,-,-,-,-,-
107,PL59D,6,-,Comp_OF_PL59C,-,LDQ65,P3,P5,H18
108,PL62A,6,-,True_OF_PL62B,TRUE,LDQ65,P2,N3,J18
109,VCCAUX,-,-,-,-,-,-,-,-
110,PL62C,6,-,True_OF_PL62D,-,LDQ65,T2,L3,K16
111,PL62B,6,-,Comp_OF_PL62A,TRUE,LDQ65,P1,M3,K18
112,VSS,-,-,-,-,-,-,-,-
113,PL62D,6,-,Comp_OF_PL62C,-,LDQ65,R1,L2,K15
114,PL65A,6,-,True_OF_PL65B,TRUE,LDQS65,V1,N2,K17
115,VCC,-,-,-,-,-,-,-,-
116,PL65C,6,-,True_OF_PL65D,-,LDQ65,U1,L1,L15
117,PL65B,6,-,Comp_OF_PL65A,TRUE,LDQSN65,U2,M1,L18
118,VSS,-,-,-,-,-,-,-,-
119,PL65D,6,-,Comp_OF_PL65C,-,LDQ65,T1,N1,L16
120,PL68A,6,-,True_OF_PL68B,TRUE,LDQ65,V3,P1,-
