# Pin Out For ECP5-5G-85,,,,,,,,,,
# Revision 0.0,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,
,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA756,CABGA554,CABGA381,CSFBGA285
1,NC,-,-,-,-,-,-,-,-,-
2,NC,-,-,-,-,-,-,-,-,-
3,NC,-,-,-,-,-,-,-,-,-
4,NC,-,-,-,-,-,-,-,-,-
5,NC,-,-,-,-,-,-,-,-,-
6,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17,C5,C2,A4,C12
7,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17,D5,C1,A5,B12
8,VSSIO7,-,-,-,-,-,-,-,-,-
9,PL11C,7,-,True_OF_PL11D,-,LDQ17,C4,C4,B5,-
10,VCCIO7,-,-,-,-,-,-,-,-,-
11,PL11D,7,-,Comp_OF_PL11C,-,LDQ17,C3,C3,C5,-
12,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17,D4,D4,C4,A12
13,VCCAUX,-,-,-,-,-,-,-,-,-
14,PL14C,7,-,True_OF_PL14D,-,LDQ17,F4,B1,A3,-
15,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ17,E4,D3,B4,-
16,VSS,-,-,-,-,-,-,-,-,-
17,PL14D,7,-,Comp_OF_PL14C,-,LDQ17,F5,B3,B3,-
18,PL17A,7,-,True_OF_PL17B,TRUE,LDQS17,B1,D2,E4,D13
19,VCC,-,-,-,-,-,-,-,-,-
20,PL17C,7,-,True_OF_PL17D,-,LDQ17,D3,E3,C3,-
21,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,C2,E1,D5,C13
22,VSS,-,-,-,-,-,-,-,-,-
23,PL17D,7,-,Comp_OF_PL17C,-,LDQ17,D2,D1,D3,-
24,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17,F3,F2,F4,-
25,VSSIO7,-,-,-,-,-,-,-,-,-
26,PL20C,7,-,True_OF_PL20D,-,LDQ17,C1,E4,E5,-
27,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQ17,E3,F1,E3,-
28,VCCIO7,-,-,-,-,-,-,-,-,-
29,PL20D,7,-,Comp_OF_PL20C,-,LDQ17,D1,F3,F5,-
30,PL23A,7,-,True_OF_PL23B,TRUE,LDQ29,F2,-,-,-
31,VSSIO7,-,-,-,-,-,-,-,-,-
32,PL23C,7,-,True_OF_PL23D,-,LDQ29,F1,-,-,-
33,PL23B,7,-,Comp_OF_PL23A,TRUE,LDQ29,E1,-,-,-
34,VCCIO7,-,-,-,-,-,-,-,-,-
35,PL23D,7,-,Comp_OF_PL23C,-,LDQ29,H1,-,-,-
36,PL26A,7,-,True_OF_PL26B,TRUE,LDQ29,H2,-,-,-
37,VCCAUX,-,-,-,-,-,-,-,-,-
38,PL26C,7,-,True_OF_PL26D,-,LDQ29,J3,-,-,-
39,PL26B,7,-,Comp_OF_PL26A,TRUE,LDQ29,H3,-,-,-
40,VSS,-,-,-,-,-,-,-,-,-
41,PL26D,7,-,Comp_OF_PL26C,-,LDQ29,K3,-,-,-
42,PL29A,7,-,True_OF_PL29B,TRUE,LDQS29,K2,-,-,-
43,VCC,-,-,-,-,-,-,-,-,-
44,PL29C,7,-,True_OF_PL29D,-,LDQ29,K1,-,-,-
45,PL29B,7,-,Comp_OF_PL29A,TRUE,LDQSN29,J1,-,-,-
46,VSS,-,-,-,-,-,-,-,-,-
47,PL29D,7,-,Comp_OF_PL29C,-,LDQ29,L1,-,-,-
48,PL32A,7,-,True_OF_PL32B,TRUE,LDQ29,L2,-,-,-
49,VSSIO7,-,-,-,-,-,-,-,-,-
50,PL32C,7,-,True_OF_PL32D,-,LDQ29,J4,-,-,-
51,PL32B,7,-,Comp_OF_PL32A,TRUE,LDQ29,L3,-,-,-
52,VCCIO7,-,-,-,-,-,-,-,-,-
53,PL32D,7,-,Comp_OF_PL32C,-,LDQ29,K4,-,-,-
54,PL35A,7,-,True_OF_PL35B,TRUE,LDQ41,H6,F5,A2,B13
55,VSSIO7,-,-,-,-,-,-,-,-,-
56,PL35C,7,VREF1_7,True_OF_PL35D,-,LDQ41,J7,H5,B2,C15
57,PL35B,7,-,Comp_OF_PL35A,TRUE,LDQ41,H5,F4,B1,A13
58,VCCIO7,-,-,-,-,-,-,-,-,-
59,PL35D,7,-,Comp_OF_PL35C,-,LDQ41,J6,H6,C2,A15
60,PL38A,7,-,True_OF_PL38B,TRUE,LDQ41,K6,J6,C1,D15
61,VCCAUX,-,-,-,-,-,-,-,-,-
62,PL38C,7,-,True_OF_PL38D,-,LDQ41,K5,H4,D2,-
63,PL38B,7,-,Comp_OF_PL38A,TRUE,LDQ41,K7,K6,D1,D16
64,VSS,-,-,-,-,-,-,-,-,-
65,PL38D,7,-,Comp_OF_PL38C,-,LDQ41,L4,L5,E1,-
66,PL41A,7,GR_PCLK7_1,True_OF_PL41B,TRUE,LDQS41,N3,K5,H4,B15
67,VCC,-,-,-,-,-,-,-,-,-
68,PL41C,7,GR_PCLK7_0,True_OF_PL41D,-,LDQ41,L7,M6,H5,C16
69,PL41B,7,-,Comp_OF_PL41A,TRUE,LDQSN41,N4,J4,G5,A16
70,VSS,-,-,-,-,-,-,-,-,-
71,PL41D,7,-,Comp_OF_PL41C,-,LDQ41,L6,M4,H3,-
72,PL44A,7,PCLKT7_1,True_OF_PL44B,TRUE,LDQ41,N6,K4,G3,A17
73,VSSIO7,-,-,-,-,-,-,-,-,-
74,PL44C,7,PCLKT7_0,True_OF_PL44D,-,LDQ41,P6,N6,F2,B18
75,PL44B,7,PCLKC7_1,Comp_OF_PL44A,TRUE,LDQ41,N7,L4,F3,B17
76,VCCIO7,-,-,-,-,-,-,-,-,-
77,PL44D,7,PCLKC7_0,Comp_OF_PL44C,-,LDQ41,P7,N5,E2,C17
78,PL47A,6,PCLKT6_1,True_OF_PL47B,TRUE,LDQ53,P5,H3,G2,D17
79,VSSIO6,-,-,-,-,-,-,-,-,-
80,PL47C,6,PCLKT6_0,True_OF_PL47D,-,LDQ53,R7,H2,H2,D18
81,PL47B,6,PCLKC6_1,Comp_OF_PL47A,TRUE,LDQ53,P4,J3,F1,C18
82,VCCIO6,-,-,-,-,-,-,-,-,-
83,PL47D,6,PCLKC6_0,Comp_OF_PL47C,-,LDQ53,T7,H1,G1,F18
84,PL50A,6,GR_PCLK6_0,True_OF_PL50B,TRUE,LDQ53,R6,K2,J4,F17
85,VCCAUX,-,-,-,-,-,-,-,-,-
86,PL50C,6,GR_PCLK6_1,True_OF_PL50D,-,LDQ53,U6,K3,J3,F15
87,PL50B,6,-,Comp_OF_PL50A,TRUE,LDQ53,T6,J1,J5,F16
88,VSS,-,-,-,-,-,-,-,-,-
89,PL50D,6,-,Comp_OF_PL50C,-,LDQ53,U7,L3,K3,G16
90,PL53A,6,-,True_OF_PL53B,TRUE,LDQS53,R4,L2,K2,G18
91,VCC,-,-,-,-,-,-,-,-,-
92,PL53C,6,-,True_OF_PL53D,-,LDQ53,T4,K1,H1,-
93,PL53B,6,-,Comp_OF_PL53A,TRUE,LDQSN53,T5,M1,J1,H17
94,VSS,-,-,-,-,-,-,-,-,-
95,PL53D,6,-,Comp_OF_PL53C,-,LDQ53,U5,L1,K1,-
96,PL56A,6,-,True_OF_PL56B,TRUE,LDQ53,U4,N1,K4,G15
97,VSSIO6,-,-,-,-,-,-,-,-,-
98,PL56C,6,-,True_OF_PL56D,-,LDQ53,V6,N3,L4,H16
99,PL56B,6,VREF1_6,Comp_OF_PL56A,TRUE,LDQ53,V4,N2,K5,H15
100,VCCIO6,-,-,-,-,-,-,-,-,-
101,PL56D,6,-,Comp_OF_PL56C,-,LDQ53,V7,M3,L5,J16
102,PL59A,6,-,True_OF_PL59B,TRUE,LDQ65,P2,-,-,-
103,VSSIO6,-,-,-,-,-,-,-,-,-
104,PL59C,6,-,True_OF_PL59D,-,LDQ65,R3,-,-,-
105,PL59B,6,-,Comp_OF_PL59A,TRUE,LDQ65,P3,-,-,-
106,VCCIO6,-,-,-,-,-,-,-,-,-
107,PL59D,6,-,Comp_OF_PL59C,-,LDQ65,T3,-,-,-
108,PL62A,6,-,True_OF_PL62B,TRUE,LDQ65,N1,-,-,-
109,VCCAUX,-,-,-,-,-,-,-,-,-
110,PL62C,6,-,True_OF_PL62D,-,LDQ65,U2,-,-,-
111,PL62B,6,-,Comp_OF_PL62A,TRUE,LDQ65,P1,-,-,-
112,VSS,-,-,-,-,-,-,-,-,-
