Mfr Part Number (Input);Quantity 1;Mfr Part Number;Mouser Part Number;Manufacturer Name;Description;Unit Price 1;Order Quantity;Order Unit Price;$81.85
SJ-43516-SMT-TR;1;$1.11;490-SJ-43516-SMT-TR;CUI Inc.;Phone Connectors Phone Connectors Audio Jacks;$1.11;1;$1.11;$1.11
3000TR;1;$0.64;534-3000TR;Keystone Electronics;Coin Cell Battery Holders Coin Cell Battery Holders SM COIN CELL B/H;$0.641;1;$0.641;$0.64
PTS645SL50SMTR92 LFS;7;$0.27;611-PTS645SL50SMTR92;C&K Switches;Tactile Switches Tactile Switches;$0.266;7;$0.266;$1.86
CC0603KRX7R8BB104;11;$0.06;603-CC603KRX7R8BB104;Yageo;Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 100nF 25V X7R 10%;$0.06;11;$0.06;$0.66
CC0805MRX5R6BB225;10;$0.05;603-CC805MRX5R6BB225;Yageo;Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2uF 10V X5R 20%;$0.049;10;$0.049;$0.49
CX0603MRX7R8BB223;17;$0.27;603-CX603MRX7R8BB223;Yageo;Feed Through Capacitors Feed Through Capacitors 22nF X7R 20% 25V;$0.274;17;$0.274;$4.66
CC0805ZKY5V5BB226;12;$0.16;603-CC805ZKY5V5BB226;Yageo;Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF Y5V -20/+80% 6.3V;$0.155;12;$0.155;$1.86
CS0603KRX7R9BB471;4;$0.10;603-CS0603KRX79BB471;Yageo;Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 470 pF 50 V 10% Ceramic Capacitors;$0.103;4;$0.103;$0.41
BZT52C3V6S;2;$0.37;821-BZT52C3V6S;Taiwan Semiconductor;Zener Diodes Zener Diodes 3.6 Volt 200mW 5%;$0.365;2;$0.365;$0.73
BAT54WSQ-7-F;6;$0.28;621-BAT54WSQ-7-F;Diodes Incorporated;Schottky Diodes & Rectifiers Schottky Diodes & Rectifiers 30V Schottky 100mA 1000Vf 2uA 600Ifsm;$0.276;6;$0.276;$1.66
LTST-C170TBKT;3;$0.40;859-LTST-C170TBKT;Lite-On;Standard LEDs - SMD Standard LEDs - SMD Blue Clear 466nm;$0.40;3;$0.40;$1.20
LTST-C170KGKT;3;$0.36;859-LTST-C170KGKT;Lite-On;Standard LEDs - SMD Standard LEDs - SMD Green Clear 571nm;$0.359;3;$0.359;$1.08
LTST-C170KFKT;2;$0.29;859-LTST-C170KFKT;Lite-On;Standard LEDs - SMD Standard LEDs - SMD Orange Clear 605nm;$0.288;2;$0.288;$0.58
LTST-C170KRKT;4;$0.33;859-LTST-C170KRKT;Lite-On;Standard LEDs - SMD Standard LEDs - SMD Red Clear 631nm;$0.328;4;$0.328;$1.31
STPS2L30AF;4;$0.46;511-STPS2L30AF;STMicroelectronics;Schottky Diodes & Rectifiers Schottky Diodes & Rectifiers 30V Low Drop Rec 2A If 0.375V VF;$0.461;4;$0.461;$1.84
10029449-111RLF;1;$0.74;649-10029449-111RLF;FCI / Amphenol;HDMI, Displayport & DVI Connectors HDMI, Displayport & DVI Connectors HDMI REC TYPE A RA SMT;$0.738;1;$0.738;$0.74
DFE252012P-2R2M=P2;3;$0.44;81-DFE252012P-2R2MP2;Murata;Fixed Inductors Fixed Inductors 2.2uH 84mOhms3.0A +/-20% 2.5x2.0x1.2mm;$0.441;3;$0.441;$1.32
2N7002P,215;1;$0.14;771-2N7002P-215;Nexperia;MOSFET MOSFET 60V 0.3A N-CHANNEL TRENCH MOSFET;$0.144;1;$0.144;$0.14
BC857;1;$0.16;755-BC857BHZGT116;ROHM Semiconductor;Bipolar Transistors - BJT Bipolar Transistors - BJT PNP SOT-23 -0.1A 210 to 480hFE -45V;$0.164;1;$0.164;$0.16
73L2R47J;1;$0.10;774-73L2R47J;CTS;Current Sense Resistors - SMD Current Sense Resistors - SMD 0.47ohms 5%;$0.103;1;$0.103;$0.10
RC0603FR-101K2L;2;$0.01;603-RC0603FR-101K2L;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 1.2K ohm 1% 75V General Purpose;$0.01;2;$0.01;$0.02
RC0603FR-101K2L;1;$0.01;603-RC0603FR-101K2L;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 1.2K ohm 1% 75V General Purpose;$0.01;1;$0.01;$0.01
RC0603FR-071K5L;2;$0.10;603-RC0603FR-071K5L;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 1.5K OHM 1%;$0.103;2;$0.103;$0.21
AC0603FR-10100KL;1;$0.01;603-AC0603FR-10100KL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 100K ohm 1% 1/10W AEC-Q200;$0.01;1;$0.01;$0.01
AC0603FR-0710KL;7;$0.10;603-AC0603FR-0710KL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 10K ohm 1% 1/10W AEC-Q200;$0.103;7;$0.103;$0.72
AC0603FR-07150RL;5;$0.10;603-AC0603FR-07150RL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10W 150ohm 1% AEC-Q200;$0.103;5;$0.103;$0.52
AC0603FR-07150RL;2;$0.10;603-AC0603FR-07150RL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10W 150ohm 1% AEC-Q200;$0.103;2;$0.103;$0.21
