Koncar,References,Quantity Per Side,Mouser,MPN/Value,Description,Footprint,,treba,ima,
FBAT001,BAT1,1,855-S8201-46R,S8201-46R,Battery holder,SMD 2-pin,ok,35,35,
FC004,C1 C3 C4 C5 C7 C8 C9 C11 C12 C15 C21 C54 C55 C58,14,81-GRM21BR61A226ME1L,22uF,C,805,ok,490,510,
FC001,C13 C16 C17 C19 C20 C22 C23 C24 C46 C47,10,80-C0805C225K4R3123,2.2uF,C,805,ok,350,270,Dodat 100
FC002,C14 C59 C60,3,81-GCM188R71E224K55D,220nF,C,603,ok,105,480,-gore 350
FC006,C2 C6 C10 C18,4,603-CS0603KRX79BB471,470pF,C,603,ok,140,160,
FC003,C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C35 C48 C49 C50 C51 C52 C53,17,603-AC603KRX7R7BB223,22nF,C,603,ok,595,620,
FC005,C56 C57,2,710-885012006048,3.3pF,C,603,ok,70,90,
FV007,D11,1,859-LTST-C170KRKT,LTST-C170KRKT,LED RED,805,ok,35,160,-gore 105
FV001,D10 D13 D14 D16 D17 D23 D24 D25 D26 D27 D29,11,863-MMDL914T1G,MMDL914T1G,D Si general purpose,SOD-323,ok,385,440,
FV003,D12 D15,2,755-RSX051VYM30FHTR,RSX051VYM30FHTR,D schottky small,SOD-323,ok,70,90,
FV002,D20 D21,2,833-BZT52C3V6S-TP,BZT52C3V6S-TP,D zener,SOD-323,ok,70,90,
FV008,D8,1,511-STPS2L30AF,STPS2L30AF,D schottky power,SMA,ok,35,40,
FL001,L1 L2 L3,3,81-DFE322512F-2R2MP2,2.2uH,inductor power,1210,ok,105,115,
FL002,L4,1,652-CV201210-330K,33uH,inductor small,805,ok,35,45,"Nema, dodat 45"
FT001,Q1,1,583-BC856A-T,BC856A-T,BJT Si PNP,SOT-23-3,ok,35,35,Dodat 10
FT002,Q2,1,757-T2N7002AKLM,T2N7002AKLM,MOSFET Si N-ch,SOT-23-3,ok,35,40,
FR011,R1 R3 R4 R25 R26 R30 RB2,7,755-SFR03EZPF4701,4.7k,R,603,ok,245,265,
FR012,R15 R19 R35 R58 R61 R65,6,603-RC0603FR-07549RL,549,R,603,ok,210,615,-dolje 385
FR010,R16 R20 R59,3,603-AC0603FR-07270RL,270,R,603,ok,105,125,
FR006,R2 RB1,2,71-CRCW060318K0FKEAC,18k,R,603,ok,70,90,
FR009,R22 R23 RB3,3,603-RC0603FR-103K3L,3.3k,R,603,ok,105,125,
FR003,R24,1,71-RCA0603100KJNEC,100k,R,603,ok,35,55,
FR001,R38,1,774-73L2R47J,"0,47",R,603,ok,35,55,
FR008,R49 R50 R52 R53,4,603-RC0603FR-0727RL,27,R,603,ok,140,160,
FR007,R5,1,603-AC0603FR-072M2L,2.2M,R,603,ok,35,55,
FR002,R6 R8 R14 R18 R29 R40 R54 R57 R66,9,603-RC0603FR-071K1L,1.1k,R,603,ok,315,335,
FR004,R7 R10 R17 R21 R39 R51 R60,7,603-RC0603FR-07130RL,130,R,603,ok,245,265,
FR005,R9 R13 R31 R32 R33 R34 R55 R63 R64 RA1 RA2 RA3,12,603-RC0603FR-1315KL,15k,R,603,ok,420,440,
FR013,R11 R12 R27 R28,4,603-RC0603FR-0710KL,10k,R,603,ok,140,160,
FU003,U10,1,870-IS25LP128JBLE-TR,IS25LP128F-JBLE-TR,FLASH,SOIC-8 208mil,ok,35,35,Dodat 5
FU008,U11,1,771-PCA9306D-T,PCA9306D,I2C level translator,SOIC-8 150mil,ok,35,34,Dodat 6
FU009,U3 U4 U5,3,595-TLV62569DBVR,TLV62569DBV,DCDC switching,SOT-23-5,ok,105,105,Dodat 10
FU002,U6,1,895-FT231XS-R,FT231XS,USB-serial,SSOP-20,ok,35,40,
FU006,U7,1,579-MCP7940NT-I/SN,MCP7940NT,RTC,SOIC-8 150mil,ok,35,40,
FQ002,Y2,1,449-LFXTAL016178REEL,LFXTAL016178REEL,CLOCK 32768 Hz,SMD 8.7x3.8 mm,ok,35,40,
