Koncar,References,Quantity Per Side,Mouser,MPN/Value,Description,Footprint,,treba,ima,
FAU001,AUDIO1,1,490-SJ-43516-SMT-TR,SJ-43516-SMT-TR,AUDIO 3.5mm,SMD 6-pin,ok,35,35,Dodat 5
FSW001,B0 B1 B2 B3 B4 B5 B6,7,611-PTS645SL50SMTR92,PTS645,PUSH BUTTON,SMD 4-pin,ok,245,245,Dodat 5
FC002,C36 C37 C38 C39 C40 C41 C42 C43 C44 C45,10,81-GCM188R71E224K55D,220nF,C,603,ok,350,480,-dolje 105
FV007,D0 D4 D19,3,859-LTST-C170KRKT,LTST-C170KRKT,LED RED,805,ok,105,160,-dolje 35
FV006,D1 D5,2,859-LTST-C170KFKT,LTST-C170KFKT,LED ORANGE,805,ok,70,90,
FV005,D2 D6 D18,3,859-LTST-C170TGKT,LTST-C170TGKT,LED GREEN,805,ok,105,125,
FV004,D3 D7 D22,3,859-LTST-C170TBKT,LTST-C170TBKT,LED BLUE,805,ok,105,125,
FX001,GPDI1,1,649-10029449-111RLF,10029449-111RLF,HDMI,SMD 20-pin,ok,35,40,
FR012,R36 R37 R41 R42 R43 R44 R45 R46 R47 R48 R62,11,603-AC0603FR-07680KL,549,R,603,ok,385,615,-dolje 210
FR014,RV3,1,71-RCG08050000Z0EA,0,R,603,ok,35,55,
FX002,SD1,1,538-47219-2001,47219-2001,SD CARD,SMD 14-pin,ok,35,35,
FSW002,SW1,1,774-2194MST,2194MST,DIP SWITCH,SMD 8-pin,ok,35,35,Dodat 5
FU004,U1,1,842-LFE5U85F6BG381C,LFE5U-85F-6BG381C,FPGA,BGA-381,ok,35,35,
FU007,U2,1,913-4816M16A2TG6AGTR,MT48LC16M16A2TG,SDRAM,TSOP-54,ok,35,40,
FU005,U8,1,700-MAX11125ATI+,MAX11125,ADC,QFN-28,ok,35,40,
FU010,US1 US2,2,649-10118192-0001LF,10118192-0001LF,MICRO USB,SMD 5-pin,ok,70,70,Dodat 5
FQ001,Y1,1,729-FNETHE025,FNETHE025,CLOCK 25MHz,SMD 7x5 mm,ok,35,40,
