Ref,Val,Package,PosX,PosY,Rot,Side
"BAT1","CR1225","Keystone_3000_1x12mm-CoinCell",2.775000,0.250000,180.000000,bottom
"C1","22uF","C_0805_2012Metric",0.378091,1.194291,0.000000,bottom
"C2","470pF","C_0603_1608Metric",2.392126,0.602756,0.000000,bottom
"C3","22uF","C_0805_2012Metric",2.400000,0.850000,0.000000,bottom
"C4","22uF","C_0805_2012Metric",2.400000,0.775000,0.000000,bottom
"C5","22uF","C_0805_2012Metric",2.725000,0.800000,90.000000,bottom
"C6","470pF","C_0603_1608Metric",2.300000,1.175000,0.000000,bottom
"C7","22uF","C_0805_2012Metric",2.300000,1.300000,0.000000,bottom
"C8","22uF","C_0805_2012Metric",2.300000,1.375000,0.000000,bottom
"C9","22uF","C_0805_2012Metric",2.625000,1.325000,90.000000,bottom
"C10","470pF","C_0603_1608Metric",0.600000,1.225000,180.000000,bottom
"C11","22uF","C_0805_2012Metric",0.600000,1.100000,180.000000,bottom
"C12","22uF","C_0805_2012Metric",0.600000,1.025000,180.000000,bottom
"C13","2.2uF","C_0805_2012Metric",3.115000,1.080000,90.000000,bottom
"C14","220nF","C_0603_1608Metric",3.200000,1.425000,270.000000,bottom
"C15","22uF","C_0805_2012Metric",0.440000,0.520000,90.000000,bottom
"C16","2.2uF","C_0805_2012Metric",2.890000,0.990000,90.000000,bottom
"C17","2.2uF","C_0805_2012Metric",1.748031,0.811024,270.000000,bottom
"C18","470pF","C_0603_1608Metric",2.224000,1.918740,90.000000,bottom
"C19","2.2uF","C_0805_2012Metric",1.748031,1.212598,90.000000,bottom
"C20","2.2uF","C_0805_2012Metric",1.748031,1.007874,270.000000,bottom
"C21","22uF","C_0805_2012Metric",0.340591,0.754291,0.000000,bottom
"C22","2.2uF","C_0805_2012Metric",2.410000,0.540000,0.000000,bottom
"C23","2.2uF","C_0805_2012Metric",0.490000,0.820000,180.000000,bottom
"C24","2.2uF","C_0805_2012Metric",2.210000,1.470000,180.000000,bottom
"C25","22nF","C_0603_1608Metric",1.842520,1.023622,270.000000,bottom
"C26","22nF","C_0603_1608Metric",1.653543,1.023622,270.000000,bottom
"C27","22nF","C_0603_1608Metric",1.685039,0.826772,270.000000,bottom
"C28","22nF","C_0603_1608Metric",1.811024,0.826772,270.000000,bottom
"C29","22nF","C_0603_1608Metric",1.889764,0.826772,270.000000,bottom
"C30","22nF","C_0603_1608Metric",1.606299,0.834646,270.000000,bottom
"C31","22nF","C_0603_1608Metric",1.653543,0.937008,0.000000,bottom
"C32","22nF","C_0603_1608Metric",1.842520,0.937008,180.000000,bottom
"C33","22nF","C_0603_1608Metric",2.763780,1.181102,0.000000,bottom
"C34","22nF","C_0603_1608Metric",2.496063,1.181102,180.000000,bottom
"C35","22nF","C_0603_1608Metric",3.275591,0.681890,270.000000,bottom
"C46","2.2uF","C_0805_2012Metric",2.055000,0.340000,0.000000,bottom
"C47","2.2uF","C_0805_2012Metric",1.590591,1.719291,0.000000,bottom
"C48","22nF","C_0603_1608Metric",0.355118,1.624291,0.000000,bottom
"C49","22nF","C_0603_1608Metric",0.330591,0.829291,0.000000,bottom
"C50","22nF","C_0603_1608Metric",3.370591,0.954291,90.000000,bottom
"C51","22nF","C_0603_1608Metric",3.366063,0.329291,180.000000,bottom
"C52","22nF","C_0603_1608Metric",2.575591,0.619291,180.000000,bottom
"C53","22nF","C_0603_1608Metric",1.559142,1.019291,180.000000,bottom
"C54","22uF","C_0805_2012Metric",2.955591,0.629291,90.000000,bottom
"C55","22uF","C_0805_2012Metric",3.345591,0.799291,270.000000,bottom
"D8","STPS2L30AF","D_SMA",0.710591,1.659291,0.000000,bottom
"D10","1N4148","D_SOD-323_HandSoldering",3.000000,1.100000,0.000000,bottom
"D11","RED","LED_0805_2012Metric",3.350000,1.275000,90.000000,bottom
"D12","BAT54W","D_SOD-323_HandSoldering",2.950000,1.275000,90.000000,bottom
"D13","1N4148","D_SOD-323_HandSoldering",3.000000,1.040000,180.000000,bottom
"D14","1N4148","D_SOD-323_HandSoldering",3.350000,1.425000,90.000000,bottom
"D15","BAT54W","D_SOD-323_HandSoldering",3.275000,1.425000,270.000000,bottom
"D16","1N4148","D_SOD-323_HandSoldering",3.155000,1.524291,0.000000,bottom
"D17","1N4148","D_SOD-323_HandSoldering",2.775000,1.650000,270.000000,bottom
"D20","3.6V","D_SOD-323_HandSoldering",2.890000,1.715000,180.000000,bottom
"D21","3.6V","D_SOD-323_HandSoldering",3.135000,1.719291,0.000000,bottom
"D23","1N4148","D_SOD-323_HandSoldering",2.750000,1.770000,0.000000,bottom
"D24","1N4148","D_SOD-323_HandSoldering",2.750000,1.845000,180.000000,bottom
"D25","1N4148","D_SOD-323_HandSoldering",3.280000,1.620000,90.000000,bottom
"D26","1N4148","D_SOD-323_HandSoldering",3.360000,1.620000,270.000000,bottom
"D27","1N4148","D_SOD-323_HandSoldering",3.155591,1.579291,180.000000,bottom
"L1","2.2uH","L_1008_1210",2.550000,0.950000,180.000000,bottom
"L2","2.2uH","L_1008_1210",0.425000,0.925000,0.000000,bottom
"L3","2.2uH","L_1008_1210",2.450000,1.475000,180.000000,bottom
"Q1","BC857","SOT-23",3.225000,1.100000,90.000000,bottom
"Q2","2N7002","SOT-23",3.025000,1.425000,180.000000,bottom
"R1","4.7k","R_0603_1608Metric",3.000000,1.175000,0.000000,bottom
"R2","18k","R_0603_1608Metric",3.100000,1.275000,90.000000,bottom
"R3","4.7k","R_0603_1608Metric",2.675000,1.650000,90.000000,bottom
"R4","4.7k","R_0603_1608Metric",3.225000,1.250000,180.000000,bottom
"R5","2.2M","R_0603_1608Metric",3.150000,1.425000,270.000000,bottom
"R6","1.2k","R_0603_1608Metric",3.325000,1.075000,270.000000,bottom
"R7","150","R_0603_1608Metric",0.775000,1.100000,270.000000,bottom
"R8","1.2k","R_0603_1608Metric",3.025000,1.275000,90.000000,bottom
"R9","15k","R_0603_1608Metric",1.350000,0.100000,270.000000,bottom
"R10","150","R_0603_1608Metric",2.285000,0.360000,180.000000,bottom
"R11","15k","R_0603_1608Metric",1.000591,1.299291,270.000000,bottom
"R12","15k","R_0603_1608Metric",0.800000,0.940000,90.000000,bottom
"R13","15k","R_0603_1608Metric",3.225000,1.325000,180.000000,bottom
"R14","1.2k","R_0603_1608Metric",1.240000,1.069291,180.000000,bottom
"R15","680","R_0603_1608Metric",1.240000,1.129291,180.000000,bottom
"R16","330","R_0603_1608Metric",1.240000,1.189291,180.000000,bottom
"R17","150","R_0603_1608Metric",1.240000,1.250000,180.000000,bottom
"R18","1.2k","R_0603_1608Metric",1.430000,1.474291,90.000000,bottom
"R19","680","R_0603_1608Metric",1.490591,1.474291,90.000000,bottom
"R20","330","R_0603_1608Metric",1.550591,1.474291,90.000000,bottom
"R21","150","R_0603_1608Metric",1.610591,1.474291,90.000000,bottom
"R22","3.3k","R_0603_1608Metric",1.808091,1.850000,90.000000,bottom
"R23","3.3k","R_0603_1608Metric",1.830591,1.654291,270.000000,bottom
"R24","100k","R_0603_1608Metric",2.225000,1.789291,90.000000,bottom
"R25","4.7k","R_0603_1608Metric",2.168307,1.564291,180.000000,bottom
"R26","4.7k","R_0603_1608Metric",2.180591,1.674291,180.000000,bottom
"R27","15k","R_0603_1608Metric",1.375000,0.631693,90.000000,bottom
"R28","15k","R_0603_1608Metric",0.925000,1.299291,270.000000,bottom
"R29","1.2k","R_0603_1608Metric",0.740000,0.940000,90.000000,bottom
"R30","4.7k","R_0603_1608Metric",0.850000,1.299291,270.000000,bottom
"R31","15k","R_0603_1608Metric",1.950000,0.550000,180.000000,bottom
"R32","15k","R_0603_1608Metric",1.525000,0.575000,90.000000,bottom
"R33","15k","R_0603_1608Metric",1.450000,0.575000,90.000000,bottom
"R34","15k","R_0603_1608Metric",0.350000,0.339370,0.000000,bottom
"R35","680","R_0603_1608Metric",0.350000,0.400000,180.000000,bottom
"R38","0.47","R_0603_1608Metric",0.373091,0.519291,90.000000,bottom
"R39","150","R_0603_1608Metric",2.725000,0.625000,180.000000,bottom
"R40","1.2k","R_0603_1608Metric",2.890000,1.830000,0.000000,bottom
"R49","27","R_0603_1608Metric",0.755000,1.525000,90.000000,bottom
"R50","27","R_0603_1608Metric",0.680000,1.525000,90.000000,bottom
"R51","150","R_0603_1608Metric",2.450000,1.564291,180.000000,bottom
"R52","27","R_0603_1608Metric",3.040591,1.774291,90.000000,bottom
"R53","27","R_0603_1608Metric",2.985000,1.774291,90.000000,bottom
"R54","1.2k","R_0603_1608Metric",3.130000,1.839291,0.000000,bottom
"R55","15k","R_0603_1608Metric",1.600000,0.575000,270.000000,bottom
"R57","1.2k","R_0603_1608Metric",0.930000,1.530000,90.000000,bottom
"R58","680","R_0603_1608Metric",0.990000,1.530000,90.000000,bottom
