Ref,Val,Package,PosX,PosY,Rot,Side
"AUDIO1","JACK_TRS_6PINS","CUI_SJ-43516-SMT",1.195591,1.681181,0.000000,top
"BTN0","PTS645","SW_SPST_PTS645",3.050000,1.500000,180.000000,top
"BTN1","PTS645","SW_SPST_PTS645",0.450000,0.900000,0.000000,top
"BTN2","PTS645","SW_SPST_PTS645",0.900000,0.900000,0.000000,top
"BTN3","PTS645","SW_SPST_PTS645",2.600000,0.500000,0.000000,top
"BTN4","PTS645","SW_SPST_PTS645",2.600000,0.150000,180.000000,top
"BTN5","PTS645","SW_SPST_PTS645",2.150000,0.150000,180.000000,top
"BTN6","PTS645","SW_SPST_PTS645",3.050000,0.150000,180.000000,top
"C36","220nF","C_0603_1608Metric",2.215000,1.435000,90.000000,top
"C37","220nF","C_0603_1608Metric",2.270000,1.435000,90.000000,top
"C38","220nF","C_0603_1608Metric",1.815000,1.435000,90.000000,top
"C39","220nF","C_0603_1608Metric",1.925000,1.435000,90.000000,top
"C40","220nF","C_0603_1608Metric",2.035000,1.435000,90.000000,top
"C41","220nF","C_0603_1608Metric",2.160000,1.435000,90.000000,top
"C42","220nF","C_0603_1608Metric",1.757591,1.435291,90.000000,top
"C43","220nF","C_0603_1608Metric",1.870000,1.435000,90.000000,top
"C44","220nF","C_0603_1608Metric",1.980000,1.435000,90.000000,top
"C45","220nF","C_0603_1608Metric",2.105000,1.435472,90.000000,top
"D0","RED","LED_0805_2012Metric",1.050000,1.284291,270.000000,top
"D1","ORANGE","LED_0805_2012Metric",0.950000,1.284291,270.000000,top
"D2","GREEN","LED_0805_2012Metric",0.850000,1.284291,270.000000,top
"D3","BLUE","LED_0805_2012Metric",0.750000,1.284291,270.000000,top
"D4","RED","LED_0805_2012Metric",0.650000,1.284291,270.000000,top
"D5","ORANGE","LED_0805_2012Metric",0.550000,1.284291,270.000000,top
"D6","GREEN","LED_0805_2012Metric",0.450591,1.284291,270.000000,top
"D7","BLUE","LED_0805_2012Metric",0.350000,1.284291,270.000000,top
"D18","GREEN","LED_0805_2012Metric",1.350000,0.250000,90.000000,top
"D19","RED","LED_0805_2012Metric",1.450000,0.250000,90.000000,top
"D22","BLUE","LED_0805_2012Metric",1.250000,0.250000,90.000000,top
"GPDI1","GPDI-D","CONN-10029449-111RLF",2.015591,1.689291,180.000000,top
"R36","680","R_0603_1608Metric",1.350000,0.100000,270.000000,top
"R37","680","R_0603_1608Metric",1.450000,0.100000,90.000000,top
"R41","680","R_0603_1608Metric",1.050000,1.170000,90.000000,top
"R42","680","R_0603_1608Metric",0.950000,1.170000,90.000000,top
"R43","680","R_0603_1608Metric",0.850000,1.170000,90.000000,top
"R44","680","R_0603_1608Metric",0.750000,1.170000,90.000000,top
"R45","680","R_0603_1608Metric",0.650000,1.170000,90.000000,top
"R46","680","R_0603_1608Metric",0.550000,1.170000,90.000000,top
"R47","680","R_0603_1608Metric",0.450000,1.170000,90.000000,top
"R48","680","R_0603_1608Metric",0.350000,1.170000,90.000000,top
"R62","680","R_0603_1608Metric",1.250000,0.100000,270.000000,top
"SD1","SCHD3A0100","SCHD3A100",0.824803,0.343307,270.000000,top
"SW1","SW_DIP_x04","SW_DIP_x4_W8.61mm_Slide_LowProfile",2.600000,1.500000,90.000000,top
"U1","LFE5U-85F-6BG381C","BGA-381_pitch0.8mm_dia0.4mm",1.747244,0.961417,0.000000,top
"U2","MT48LC16M16A2TG","TSOP54",2.795000,0.961417,90.000000,top
"U8","MAX11125","QFN-28-1EP_5x5mm_Pitch0.5mm",3.275000,0.475000,180.000000,top
"US1","MICRO_USB","USB-MICRO-B-FCI-10118192-0001LF",0.700000,1.925000,180.000000,top
"US2","MICRO_USB","USB-MICRO-B-FCI-10118192-0001LF",3.000000,1.925000,180.000000,top
"Y1","FNETHE025","Crystal_SMD_7050_4Pads",0.448819,1.606299,180.000000,top
